GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
udbx4j,com.supermap.udbx.dataset,LineFeature,1,37,1,1,0,7,1,2,0,2
udbx4j,com.supermap.udbx.dataset,PointDataset,42,484,9,33,7,107,9,20,0,8
udbx4j,com.supermap.udbx.dataset,PointZDataset,42,472,9,33,6,97,9,20,0,8
udbx4j,com.supermap.udbx.dataset,RegionDataset,42,472,9,33,6,97,9,20,0,8
udbx4j,com.supermap.udbx.dataset,PointFeature,1,37,1,1,0,7,1,2,0,2
udbx4j,com.supermap.udbx.dataset,CadDataset,46,462,7,35,6,97,7,22,0,8
udbx4j,com.supermap.udbx.dataset,RegionFeature,1,37,1,1,0,7,1,2,0,2
udbx4j,com.supermap.udbx.dataset,Dataset,23,30,0,0,8,8,6,3,6,3
udbx4j,com.supermap.udbx.dataset,CadFeature,1,37,1,1,0,7,1,2,0,2
udbx4j,com.supermap.udbx.dataset,TabularDataset,38,449,4,34,6,91,4,23,0,8
udbx4j,com.supermap.udbx.dataset,TabularRecord,1,30,1,1,0,6,1,2,0,2
udbx4j,com.supermap.udbx.dataset,VectorDataset,0,9,0,0,0,3,0,2,0,2
udbx4j,com.supermap.udbx.dataset,LineDataset,46,468,7,35,6,97,7,22,0,8
udbx4j,com.supermap.udbx.dataset,RegionZDataset,42,472,9,33,6,97,9,20,0,8
udbx4j,com.supermap.udbx.dataset,LineZDataset,42,472,9,33,6,97,9,20,0,8
udbx4j,com.supermap.udbx.system,SmDataSourceInfoDao,4,64,6,6,2,15,6,3,0,3
udbx4j,com.supermap.udbx.system,SmFieldInfoDao,0,179,2,12,0,42,2,11,0,6
udbx4j,com.supermap.udbx.system,UdbxSchemaInitializer,0,58,0,0,0,23,0,7,0,7
udbx4j,com.supermap.udbx.system,GeometryColumnsDao,0,78,4,8,0,21,4,5,0,3
udbx4j,com.supermap.udbx.system,SmRegisterDao,1,256,5,13,0,70,5,14,0,10
udbx4j,com.supermap.udbx.geometry.cad,StyleFill,0,36,0,0,0,1,0,1,0,1
udbx4j,com.supermap.udbx.geometry.cad,StyleLine,0,12,0,0,0,1,0,1,0,1
udbx4j,com.supermap.udbx.geometry.cad,CadGeometry.GeoArc,0,26,0,0,0,2,0,2,0,2
udbx4j,com.supermap.udbx.geometry.cad,CadGeometry.GeoLine3D,0,23,0,0,0,2,0,2,0,2
udbx4j,com.supermap.udbx.geometry.cad,CadGeometry.GeoEllipticArc,0,29,0,0,0,2,0,2,0,2
udbx4j,com.supermap.udbx.geometry.cad,CadGeometry.GeoCurveObject,0,18,0,0,0,2,0,2,0,2
udbx4j,com.supermap.udbx.geometry.cad,CadGeometry.GeoCircle,0,17,0,0,0,2,0,2,0,2
udbx4j,com.supermap.udbx.geometry.cad,CadGeometry.GeoRegion,0,20,0,0,0,2,0,2,0,2
udbx4j,com.supermap.udbx.geometry.cad,CadGeometry.GeoRegion3D,0,23,0,0,0,2,0,2,0,2
udbx4j,com.supermap.udbx.geometry.cad,CadGeometryReader,15,770,2,31,2,160,2,45,0,23
udbx4j,com.supermap.udbx.geometry.cad,CadGeometry.GeoLine,0,20,0,0,0,2,0,2,0,2
udbx4j,com.supermap.udbx.geometry.cad,StyleMarker,0,39,0,0,0,1,0,1,0,1
